nom	annee	n
Polian et Rens (reconnaissance)	1910	0
Polian et Rens (reconnaissance)	1920	0
Polian et Rens (reconnaissance)	1930	0
Polian et Rens (reconnaissance)	1940	0
Polian et Rens (reconnaissance)	1950	0
Polian et Rens (reconnaissance)	1960	39
Polian et Rens (reconnaissance)	1970	0
Polian et Rens (reconnaissance)	1980	0
l'expédition du Gauss	1760	0
l'expédition du Gauss	1770	0
l'expédition du Gauss	1780	0
l'expédition du Gauss	1790	0
l'expédition du Gauss	1800	0
l'expédition du Gauss	1810	0
l'expédition du Gauss	1820	0
l'expédition du Gauss	1830	0
l'expédition du Gauss	1840	0
l'expédition du Gauss	1850	0
l'expédition du Gauss	1860	0
l'expédition du Gauss	1870	0
l'expédition du Gauss	1880	0
l'expédition du Gauss	1890	0
l'expédition du Gauss	1900	10
l'expédition du Gauss	1910	0
l'expédition du Gauss	1920	0
l'expédition du Gauss	1930	0
l'expédition du Gauss	1940	0
l'expédition du Gauss	1950	0
l'expédition du Gauss	1960	0
l'expédition du Gauss	1970	0
l'expédition du Gauss	1980	0
la Commission réduite de Toponymie de Port-aux-Français	1760	0
la Commission réduite de Toponymie de Port-aux-Français	1770	0
la Commission réduite de Toponymie de Port-aux-Français	1780	0
la Commission réduite de Toponymie de Port-aux-Français	1790	0
la Commission réduite de Toponymie de Port-aux-Français	1800	0
la Commission réduite de Toponymie de Port-aux-Français	1810	0
la Commission réduite de Toponymie de Port-aux-Français	1820	0
la Commission réduite de Toponymie de Port-aux-Français	1830	0
la Commission réduite de Toponymie de Port-aux-Français	1840	0
la Commission réduite de Toponymie de Port-aux-Français	1850	0
la Commission réduite de Toponymie de Port-aux-Français	1860	0
la Commission réduite de Toponymie de Port-aux-Français	1870	0
la Commission réduite de Toponymie de Port-aux-Français	1880	0
la Commission réduite de Toponymie de Port-aux-Français	1890	0
la Commission réduite de Toponymie de Port-aux-Français	1900	0
la Commission réduite de Toponymie de Port-aux-Français	1910	0
la Commission réduite de Toponymie de Port-aux-Français	1920	0
la Commission réduite de Toponymie de Port-aux-Français	1930	0
la Commission réduite de Toponymie de Port-aux-Français	1940	0
la Commission réduite de Toponymie de Port-aux-Français	1950	0
la Commission réduite de Toponymie de Port-aux-Français	1960	2
la Commission réduite de Toponymie de Port-aux-Français	1970	0
la Commission réduite de Toponymie de Port-aux-Français	1980	0
l'expédition du Bougainville	1760	0
l'expédition du Bougainville	1770	0
l'expédition du Bougainville	1780	0
l'expédition du Bougainville	1790	0
l'expédition du Bougainville	1800	0
l'expédition du Bougainville	1810	0
l'expédition du Bougainville	1820	0
l'expédition du Bougainville	1830	0
l'expédition du Bougainville	1840	0
l'expédition du Bougainville	1850	0
l'expédition du Bougainville	1860	0
l'expédition du Bougainville	1870	0
l'expédition du Bougainville	1880	0
l'expédition du Bougainville	1890	0
l'expédition du Bougainville	1900	0
l'expédition du Bougainville	1910	0
l'expédition du Bougainville	1920	0
l'expédition du Bougainville	1930	3
l'expédition du Bougainville	1940	0
l'expédition du Bougainville	1950	0
l'expédition du Bougainville	1960	0
l'expédition du Bougainville	1970	0
l'expédition du Bougainville	1980	0
La Commission de Toponymie de Port-aux-Français	1760	0
La Commission de Toponymie de Port-aux-Français	1770	0
La Commission de Toponymie de Port-aux-Français	1780	0
La Commission de Toponymie de Port-aux-Français	1790	0
La Commission de Toponymie de Port-aux-Français	1800	0
La Commission de Toponymie de Port-aux-Français	1810	0
La Commission de Toponymie de Port-aux-Français	1820	0
La Commission de Toponymie de Port-aux-Français	1830	0
La Commission de Toponymie de Port-aux-Français	1840	0
La Commission de Toponymie de Port-aux-Français	1850	0
La Commission de Toponymie de Port-aux-Français	1860	0
La Commission de Toponymie de Port-aux-Français	1870	0
La Commission de Toponymie de Port-aux-Français	1880	0
La Commission de Toponymie de Port-aux-Français	1890	0
La Commission de Toponymie de Port-aux-Français	1900	0
La Commission de Toponymie de Port-aux-Français	1910	0
La Commission de Toponymie de Port-aux-Français	1920	0
La Commission de Toponymie de Port-aux-Français	1930	0
La Commission de Toponymie de Port-aux-Français	1940	0
La Commission de Toponymie de Port-aux-Français	1950	0
